Date,Country,iso3,aqi,co,no2,o3,pm10,pm25,so2
2016-02-24,China,CHN,92.33333333,9.711538462,15.26538462,19.90980392,61.30769231,116.0769231,11.64230769
2016-02-24,India,IND,,6.777777778,13.23333333,13.31111111,110,161.5454545,4.255555556
2016-02-24,Thailand,THA,,8.68,12.28,28.18,58.8,146,3.18
2016-02-25,China,CHN,126.3333333,10.22115385,18.66346154,20.47647059,69.65384615,126.2307692,12.50961538
2016-02-25,India,IND,,8.022222222,11.67777778,14.71111111,97.6,148,4.433333333
2016-02-25,Thailand,THA,,9.48,10.08,28.5,50.6,112,3.18
2016-02-26,China,CHN,111.6666667,10.42692308,20.21538462,18.49215686,70.48076923,127.3076923,13.58076923
2016-02-26,India,IND,,7.811111111,9.222222222,11.87777778,94.4,148.0909091,3.5125
2016-02-26,Thailand,THA,,9.18,9.7,30.3,42.6,61,2.62
2016-02-27,China,CHN,102.6666667,10.51923077,19.53269231,17.62941176,68.59615385,123.8076923,13.57307692
2016-02-27,India,IND,,7.6,10.51428571,6.685714286,103.6,143.8888889,3.828571429
2016-02-27,Thailand,THA,,9.16,10.06,31.7,43.4,51,2.9
2016-02-28,China,CHN,93.33333333,9.686538462,18.29423077,20.06862745,68,122.6538462,12.175
2016-02-28,India,IND,,8.744444444,9.377777778,14.15,110.6,154.9,3.266666667
2016-02-28,Thailand,THA,,9.36,12.28,30,41.6,53,3.46
2016-02-29,China,CHN,49,9.680769231,17.14807692,23.58235294,68.15384615,124.8461538,11.62692308
2016-02-29,India,IND,,9.088888889,9.477777778,10.47777778,105,158.9090909,3.177777778
2016-02-29,Thailand,THA,,7.92,14.48,25.32,47.6,65,4.62
2016-03-01,China,CHN,119,10.80769231,19.70576923,25.48627451,77.01923077,140.0769231,15.55769231
2016-03-01,India,IND,,8.366666667,9.933333333,14.15555556,113.8,161.2727273,4.366666667
2016-03-01,Thailand,THA,,7.32,14.12,29.02,54.2,82,4.9
2016-03-02,China,CHN,140,11.61923077,23.26153846,24.63137255,86.21153846,149.1538462,16.23846154
2016-03-02,India,IND,,8.766666667,10.22222222,15.94444444,114.6,164.4545455,5.633333333
2016-03-02,Thailand,THA,,9.32,18.56,35.42,70.8,135,4.62
2016-03-03,China,CHN,144.6666667,11.68461538,26.06538462,21.74117647,90,149.7115385,16.23461538
2016-03-03,India,IND,,7.622222222,11.43333333,16.71111111,111.2,156.2727273,4.255555556
2016-03-03,Thailand,THA,,10.38,18.74,38.7,77,162,4.62
2016-03-04,China,CHN,225,11.59038462,23.38461538,21.0372549,93.61538462,150.6346154,13.92307692
2016-03-04,India,IND,,8.144444444,10.87777778,11.11111111,99,151.2727273,2.866666667
2016-03-04,Thailand,THA,,8.56,12.1,31.8,63.2,151,2.9
2016-03-05,China,CHN,137,9.623076923,18.72115385,20.72941176,103.0576923,143.8846154,11.02884615
2016-03-05,India,IND,,8.0375,8.5875,10.15,97.4,137.3,3.0125
2016-03-05,Thailand,THA,,7.68,10.42,26.76,53.8,151,2.9
2016-03-06,China,CHN,144.6666667,10.85769231,20.35769231,18.08039216,110.4230769,148.5961538,13.45192308
2016-03-06,India,IND,,8.383333333,7.016666667,13.68333333,79.5,132.375,6.1
2016-03-06,Thailand,THA,,7.44,9.7,26.92,54.2,158,2.9
2016-03-07,China,CHN,136.3333333,10.54423077,18.98846154,20.13333333,90.80769231,130.4423077,11.85769231
2016-03-07,India,IND,,6.7125,7.6875,13.875,86,143.9,2.9125
2016-03-07,Thailand,THA,,7.76,9.12,29.48,56.4,170,2.62
2016-03-08,China,CHN,61,7.776923077,12.59038462,21.59803922,56.59615385,87.19230769,7.698076923
2016-03-08,India,IND,,5.475,8.3625,13.8375,81.8,131.2,3.4125
2016-03-08,Thailand,THA,,7.04,9.48,27.08,49.2,151,2.62
2016-03-09,China,CHN,58,7.284615385,11.55961538,20.86078431,45.26923077,78.38461538,7.507692308
2016-03-09,India,IND,,6.866666667,11.54444444,12.3,103.4,148.5454545,4.111111111
2016-03-09,Thailand,THA,,7.4,10.6,28.38,49.6,153,3.18
2016-03-10,China,CHN,59.33333333,7.334615385,11.61923077,21.01764706,42,74.05769231,8.769230769
2016-03-10,India,IND,,6.955555556,10.6,9.888888889,109.4,149.4545455,3.544444444
2016-03-10,Thailand,THA,,8.04,12.64,25.34,58,159,2.34
2016-03-11,China,CHN,62.33333333,8.430769231,16.35192308,20.25686275,54.98076923,106.2884615,11.08076923
2016-03-11,India,IND,,7.6,10.61111111,13.76666667,96.6,141.9090909,3.577777778
2016-03-11,Thailand,THA,,8.4,11.52,30.7,57.8,165,3.18
2016-03-12,China,CHN,120.3333333,9.601923077,18.68653846,21.43333333,72.73076923,134.0384615,13.27115385
2016-03-12,India,IND,,6.4,8.4,8.777777778,80.2,132.5454545,5.522222222
2016-03-12,Thailand,THA,,6.96,8.94,30.96,52.8,163,2.06
2016-03-13,China,CHN,80,9.655769231,17.45,19.56470588,64.26923077,117.6730769,9.851923077
2016-03-13,India,IND,,5.344444444,7.8,14.63333333,76.6,112.1818182,5.066666667
2016-03-13,Thailand,THA,,6.26,8.2,25.18,42.4,159,2.62
2016-03-14,China,CHN,115.3333333,10.47115385,19.29807692,22.7,72.44230769,131.8076923,12.77884615
2016-03-14,India,IND,,5.811111111,7.933333333,10.36666667,74.6,124.9090909,2.7
2016-03-14,Thailand,THA,,6.76,9.5,21.32,46.6,162,2.55
2016-03-15,China,CHN,157.3333333,10.57115385,20.48461538,25.59803922,81.40384615,146.25,14.40384615
2016-03-15,India,IND,,6.455555556,9.022222222,7.988888889,90,142.9090909,2.955555556
2016-03-15,Thailand,THA,,6.86,9.3,30.62,49,168,2.55
2016-03-16,China,CHN,211.3333333,11.30576923,22.91346154,22.57058824,86.34615385,150.3846154,13.90576923
2016-03-16,India,IND,,6.022222222,9.844444444,10.74444444,89,145,2.655555556
2016-03-16,Thailand,THA,,6.62,9.84,30.92,51.4,152,3.25
2016-03-17,China,CHN,172.3333333,11.24038462,23.09615385,19.1627451,85.36538462,144.3269231,13.06538462
2016-03-17,India,IND,,6.011111111,10.62222222,9.566666667,94.2,138.5454545,2.555555556
2016-03-17,Thailand,THA,,7.2,10.62,26.42,51.4,155,2.34
2016-03-18,China,CHN,239.6666667,12.77307692,25.23269231,17.65098039,94.78846154,157.0961538,13.02307692
2016-03-18,India,IND,,7.633333333,9.6125,10.14444444,85.6,141.8181818,2.955555556
2016-03-18,Thailand,THA,,7.24,10.42,26.44,54.2,157,2.55
2016-03-19,China,CHN,158,11.45961538,21.14423077,22.41176471,89.34615385,146.1923077,11.46346154
2016-03-19,India,IND,,9.466666667,9.2,9.744444444,102,140.2222222,5.011111111
2016-03-19,Thailand,THA,,6.8,9.86,29.36,53.4,138,3.76
2016-03-20,China,CHN,100.6666667,9.765384615,18.66538462,26.18235294,75.36538462,137.4038462,11.33846154
2016-03-20,India,IND,,9.477777778,8.088888889,12.46666667,96.6,144.6666667,4.444444444
2016-03-20,Thailand,THA,,7.54,8.92,34.42,60,168,2.9
2016-03-21,China,CHN,144.3333333,10.14038462,20.12692308,26.69803922,70.09615385,130.4230769,11.91730769
2016-03-21,India,IND,,7.522222222,8.4,12.37777778,90.8,136.6363636,3.177777778
2016-03-21,Thailand,THA,,6.52,10.62,28.7,54,175,2.9
2016-03-22,China,CHN,149,9.159615385,19.13076923,23.02352941,65.76923077,117.7115385,9.584615385
2016-03-22,India,IND,,7.111111111,7.622222222,13,82.4,122.6363636,3.144444444
2016-03-22,Thailand,THA,,6.48,9.12,27.4,52.4,151,4.32
2016-03-23,China,CHN,82.33333333,7.738461538,14.78076923,24.53921569,54,97.73076923,7.623076923
2016-03-23,India,IND,,8.322222222,8.622222222,13.85555556,90.2,135.1818182,3.333333333
2016-03-23,Thailand,THA,,7.1,9.32,30.48,61.6,166,4.04
2016-03-24,China,CHN,75.33333333,7.001923077,13.23846154,26.09215686,49,89.25,7.969230769
2016-03-24,India,IND,,8.166666667,12.37777778,12.57777778,99.8,142.0909091,4.511111111
2016-03-24,Thailand,THA,,7.74,11.36,26.42,68.8,172,2.9
2016-03-25,China,CHN,80,7.825,16.16538462,25.66078431,57.98076923,109.1730769,9.263461538
2016-03-25,India,IND,,8.3875,13.7875,10.18571429,98.4,137.2,3.9875
2016-03-25,Thailand,THA,,8.72,10.4,29.3,72.4,191,3.2
2016-03-26,China,CHN,63.33333333,8.1,18.84423077,26.06666667,63.84615385,119.8076923,10.00769231
2016-03-26,India,IND,,6.242857143,9.271428571,5.95,84,121.3333333,3.783333333
2016-03-26,Thailand,THA,,9.5,9.12,37.04,63.8,172,3.18
2016-03-27,China,CHN,75,8.276923077,17.85,28.16078431,66.86538462,124.4807692,11.32884615
2016-03-27,India,IND,,6.755555556,9.088888889,17.18888889,84.6,127,3.833333333
2016-03-27,Thailand,THA,,8.48,9.86,38.08,56.2,162,2.9
2016-03-28,China,CHN,100,8.428846154,20.56346154,28.92941176,76.73076923,135.5192308,12.59615385
2016-03-28,India,IND,,7.1,9.275,18.3625,87.25,141.7,3.2125
2016-03-28,Thailand,THA,,9.82,11.16,40.5,62.8,153,5.025
2016-03-29,China,CHN,82,8.180769231,20.85384615,25.08039216,74.59615385,123.3846154,11.36923077
2016-03-29,India,IND,,6.155555556,8.966666667,13.85555556,89.6,142.4545455,3.622222222
2016-03-29,Thailand,THA,,9,12.28,37.14,57.8,152,2.62
2016-03-30,China,CHN,104.3333333,9.411538462,23.18846154,20.39411765,77.59615385,137.9615385,12.31346154
2016-03-30,India,IND,,6.322222222,10.78888889,12.32222222,105.2,146.5454545,3.9
2016-03-30,Thailand,THA,,8.44,12.46,32.88,59.8,161,2.9
2016-03-31,China,CHN,167,9.473076923,20.39423077,27.06470588,82.57692308,147.25,10.79615385
2016-03-31,India,IND,,5.888888889,11.52222222,11.26666667,108.4,139.6363636,4.455555556
2016-03-31,Thailand,THA,,8.64,13.4,31.92,61.8,167,2.62
2016-04-01,China,CHN,134.3333333,8.823076923,17.83461538,27.59411765,81.07692308,140.4038462,9.719230769
2016-04-01,India,IND,,7.377777778,9.388888889,12.32222222,89,136.1818182,3.277777778
2016-04-01,Thailand,THA,,6.56,11.34,28.86,54.8,160,2.34
2016-04-02,China,CHN,72,8.438461538,16.58653846,24.1745098,73.55769231,117.9230769,8.207692308
2016-04-02,India,IND,,6.2875,10.51428571,8.0625,97.4,135.8,3.9875
2016-04-02,Thailand,THA,,5.96,10.96,27.22,46.6,155,2.9
2016-04-03,China,CHN,63.33333333,7.980769231,13.91346154,22.50588235,55.55769231,101.2115385,6.965384615
2016-04-03,India,IND,,8.35,7.775,12.9125,101.4,148.7,5.625
2016-04-03,Thailand,THA,,5.96,9.88,26.26,47.4,163,2.34
2016-04-04,China,CHN,92.66666667,8.267307692,14.76730769,23.47254902,60.05769231,107.3269231,9.882692308
2016-04-04,India,IND,,7.57,11.65,14.73,109.5,138.4545455,3.88
2016-04-04,Thailand,THA,,6.02,10.8,27.76,48.8,165,2.62
2016-04-05,China,CHN,111,8.336538462,16.70192308,22.55294118,60.40384615,108.7884615,9.419230769
2016-04-05,India,IND,,6.55,11.72,11.5,97.83333333,135.0909091,3.71
2016-04-05,Thailand,THA,,5.7,9.12,26.16,47.8,159,2.9
2016-04-06,China,CHN,135.3333333,9,16.25576923,20.54313725,57.82692308,108.25,8.073076923
2016-04-06,India,IND,,6.5,11.35555556,12.46666667,100.6,131.7272727,3.344444444
2016-04-06,Thailand,THA,,5.98,8.04,26.14,48.8,162,3.46
2016-04-07,China,CHN,114.6666667,8.253846154,15.225,21.7627451,60.80769231,98.05769231,7.298076923
2016-04-07,India,IND,,6.977777778,11.28888889,12.18888889,109.4,137.1818182,3.233333333
2016-04-07,Thailand,THA,,6.62,9.12,27.06,54.8,172,2.62
2016-04-08,China,CHN,85.66666667,8.8,18.13846154,21.46666667,70.67307692,106.5576923,8.446153846
2016-04-08,India,IND,,8.422222222,10.93333333,13.1,83.8,118.6363636,4.077777778
2016-04-08,Thailand,THA,,6.9,10.24,27.62,49.6,165,4.32
2016-04-09,China,CHN,91.66666667,8.5,16.96153846,25.05686275,66.57692308,104.9423077,8.619230769
2016-04-09,India,IND,,6.4625,10.9125,9.528571429,91.2,119.5,4.4625
2016-04-09,Thailand,THA,,6.44,9.88,22.94,47.2,158,2.9
2016-04-10,China,CHN,95.66666667,8.538461538,18.23846154,25.69803922,69.44230769,108.3653846,8.767307692
2016-04-10,India,IND,,5.925,10.025,17.25,81.8,114,4.225
